name,frequency
Radio Planet Music,87.5
Radio Italia,87.7
Radio Spazio Noi,88.0
Radio Cuore Ricorda,88.3
Fantastica,88.5
Radio Cuore,89.1
Radio Maria,89.4
Radio Vaticana,89.4
Radio Telecolor,89.7
Radio Monte Carlo,90.0
Gr Parlamento,90.3
Primaradio,90.6
RADIO NEWS24,91.0
Radio Med,91.3
Radio Evangelo (Misilmeri),91.6
Radio Radicale,92.0
Radio Studio Sicar,92.3
RVS Radio Voce della Speranza,92.6
Radio Capital,92.9
VIRGIN,93.2
Radio Zeta lâ€™Italiana,93.5
R 101,93.7
Radio Time,94.0
Radio LatteMiele,94.6
Rai Radio (Sicilia),94.9
Radio Margherita,95.2
Radio Battikuore,95.5
Radio Cusano Campus,95.8
Radio Jukebox,96.1
Radio One,96.3
Radio One,96.6
Radio Monte Carlo,96.6
Rai Radio,96.9
R 101,97.2
Radio Centrale,97.5
Radio Freccia,97.8
Radio Reporter,98.1
R 101,98.4
Radio Mia,98.6
Rai Radio,98.9
Radio Spazio Noi,99.35
Radio China FM,99.5
Radio Palermo Centrale,99.9
Radio Show,100.1
Radio Sportiva,100.5
Radio Evangelica,100.9
Radio Action,101.2
Radio,101.6
Radio In,102.0
KISSKISS,103.0
Radio Capital,103.3
Radio Arcobaleno,103.7
Radio Margherita,104.0
Radio Sprint,104.3
Radio,104.5
Radio Italia,104.8
Radio,105.1
Radio Maria,105.4
Radio Vaticana,105.4
Radio Margherita Giovane,105.7
Radio Margherita,106.0
Radio Spazio Noi,106.3
RDS Radio Dimensione Suono,106.6
Radio Time,106.9
Radio Maria,107.2
Radio Vaticana,107.2
Radio Deejay,107.5
M DUE O Radio,107.8
Rai Radio (Sicilia),1062.0
Rai Radio (Sicilia),1116.0
