,comune,provincia,popolazione,superficie,altitudine,istat,lon,lat
0,Acate,Ragusa,9 574,"102,47",199,88001,14.49372908,37.02640029
1,Aci Bonaccorsi,Catania,3 200,"1,72",365,87001,15.10860732,37.59789361
2,Aci Castello,Catania,18 122,"8,71",15,87002,15.14523329,37.5558181
3,Aci Catena,Catania,28 749,"8,53",170,87003,15.14224165,37.60268159
4,Aci Sant'Antonio,Catania,17 270,"14,33",302,87005,15.12585282,37.60601727
5,Acireale,Catania,51 456,"40,43",161,87004,15.16628791,37.61215073
6,Acquaviva Platani,Caltanissetta,1 041,"14,63",558,85001,13.70014279,37.57170412
7,Acquedolci,Messina,5 744,"12,93",15,83107,14.58806194,38.05636112
8,Adrano,Catania,35 549,"83,22",560,87006,14.83268741,37.66181377
9,Agira,Enna,8 484,"164,08",650,86001,14.52379575,37.65721229
10,Agrigento,Agrigento,58 323,"245,32",230,84001,13.58457496,37.30971088
11,Aidone,Enna,4 929,"210,78",800,86002,14.44789122,37.4160022
12,Alcamo,Trapani,45 314,"130,90",258,81001,12.96497004,37.98060309
13,Alcara Li Fusi,Messina,2 072,"62,94",400,,,
14,Alessandria della Rocca,Agrigento,3 118,"62,24",533,84002,13.45348842,37.56973494
15,Alia,Palermo,3 806,"45,98",726,82001,13.71312654,37.77857858
16,Alimena,Palermo,2 152,"59,70",740,82002,14.11367406,37.69212923
17,Aliminusa,Palermo,1 291,"13,68",450,82003,13.78104483,37.86417485
18,Altavilla Milicia,Palermo,7 429,"23,78",73,82004,13.55045349,38.0423171
19,Altofonte,Palermo,10 266,"35,44",350,82005,13.29829071,38.04435532
20,Alì,Messina,823,"15,94",450,83002,15.41797276,38.02694065
21,Alì Terme,Messina,2 567,"6,27",9,83003,15.42261725,38.00375238
22,Antillo,Messina,992,"43,64",480,83004,15.24539421,37.97612979
23,Aragona,Agrigento,9 493,"74,70",400,84003,13.61778892,37.40243058
24,Assoro,Enna,5 366,"112,15",850,86003,14.42408648,37.62816262
25,Augusta,Siracusa,36 169,"111,16",15,89001,15.21944081,37.23060554
26,Avola,Siracusa,31 328,"74,59",40,89002,15.13544392,36.90839155
27,Bagheria,Palermo,54 257,"29,84",78,82006,13.51098444,38.07888292
28,Balestrate,Palermo,6 413,"6,43",35,82007,13.00438972,38.05131521
29,Barcellona Pozzo di Gotto,Messina,41 632,"59,14",60,83005,15.21857534,38.14692512
30,Barrafranca,Enna,13 977,"53,71",450,86004,14.20387847,37.37284964
31,Basicò,Messina,679,"12,07",520,83006,15.06175499,38.06159926
32,Baucina,Palermo,2 014,"24,47",550,82008,13.53723989,37.92512717
33,Belmonte Mezzagno,Palermo,11 149,"29,29",356,82009,13.39011115,38.0483523
34,Belpasso,Catania,26 378,"166,33",551,87007,14.97704833,37.59138844
35,Biancavilla,Catania,23 703,"70,28",515,87008,14.86954107,37.64125641
36,Bisacquino,Palermo,4 829,"64,97",744,82010,13.25873047,37.70578743
37,Bivona,Agrigento,3 882,"88,57",503,84004,13.44040048,37.61810993
38,Blufi,Palermo,1 083,"21,98",725,82082,14.07674064,37.75230981
39,Bolognetta,Palermo,3 932,"27,63",350,82011,13.45567566,37.96471871
40,Bompensiere,Caltanissetta,610,"19,95",283,85002,13.7806399,37.47263349
41,Bompietro,Palermo,1 474,"42,41",685,82012,14.09952174,37.74708402
42,Borgetto,Palermo,7 021,"26,02",290,82013,13.1427413,38.04642071
43,Brolo,Messina,5 826,"7,66",8,83007,14.82771691,38.15684761
44,Bronte,Catania,19 234,"250,86",760,87009,14.83289947,37.78751853
45,Buccheri,Siracusa,2 133,"57,83",820,89003,14.85046834,37.12651105
46,Burgio,Agrigento,2 780,"42,23",317,84005,13.28953712,37.59887056
47,Buscemi,Siracusa,1 128,"52,05",761,89004,14.88415569,37.08523351
48,Buseto Palizzolo,Trapani,3 031,"72,81",249,81002,12.71132304,38.01217232
49,Butera,Caltanissetta,4 937,"298,55",402,85003,14.18628296,37.18643008
50,Caccamo,Palermo,8 295,"188,23",521,82014,13.6635321,37.93179987
51,Calamonaci,Agrigento,1 375,"32,89",307,84006,13.29090306,37.52534229
52,Calascibetta,Enna,4 628,"89,12",691,86005,14.27309071,37.58955793
53,Calatabiano,Catania,5 383,"26,42",60,87010,15.22774979,37.82332843
54,Calatafimi Segesta,Trapani,6 738,"154,86",338,,,
55,Caltabellotta,Agrigento,3 907,"124,09",949,84007,13.21565014,37.57690304
56,Caltagirone,Catania,38 123,"383,38",608,87011,14.5127442,37.23808582
57,Caltanissetta,Caltanissetta,61 711,"421,25",568,85004,14.06184986,37.49213171
58,Caltavuturo,Palermo,4 171,"97,95",635,82015,13.89007124,37.82030861
59,Camastra,Agrigento,2 163,"16,32",340,84008,13.79377357,37.25215719
60,Cammarata,Agrigento,6 275,"192,46",682,84009,13.63797741,37.63272878
61,Campobello di Licata,Agrigento,10 438,"81,33",316,84010,13.91888981,37.25978333
62,Campobello di Mazara,Trapani,11 580,"65,83",110,81004,12.74409014,37.63458999
63,Campofelice di Fitalia,Palermo,548,"35,46",734,82016,13.48457087,37.82621584
64,Campofelice di Roccella,Palermo,6 918,"14,51",54,82017,13.88584537,37.9920103
65,Campofiorito,Palermo,1 332,"21,70",666,82018,13.26918551,37.75326228
66,Campofranco,Caltanissetta,3 218,"36,11",350,85005,13.71255278,37.51200991
67,Camporeale,Palermo,3 448,"38,72",425,82019,13.09530579,37.89700076
68,Camporotondo Etneo,Catania,4 476,"6,55",445,87012,15.00595832,37.56740031
69,Canicattini Bagni,Siracusa,7 186,"15,06",362,89005,15.06173869,37.03498945
70,Canicattì,Agrigento,34 863,"91,86",465,84011,13.84999085,37.36023871
71,Capaci,Palermo,11 030,"6,12",51,82020,13.23935186,38.17083872
72,Capizzi,Messina,3 347,"70,17",1 100,83008,14.47841766,37.84887419
73,Capo d'Orlando,Messina,13 260,"14,43",8,83009,14.74392536,38.16030299
74,Capri Leone,Messina,4 516,"6,76",400,83010,14.70723848,38.1075257
75,Carini,Palermo,35 681,"76,60",170,82021,13.18240939,38.1331909
76,Carlentini,Siracusa,17 958,"158,91",200,89006,15.0147705,37.27597703
77,Caronia,Messina,3 463,"227,26",304,83011,14.44076582,38.02470888
78,Casalvecchio Siculo,Messina,907,"33,62",420,83012,15.32349977,37.95821414
79,Cassaro,Siracusa,813,"19,62",550,89007,14.94764473,37.10522743
80,Castel di Iudica,Catania,4 748,"103,21",475,87013,14.64944945,37.49443804
81,Castel di Lucio,Messina,1 366,"28,78",753,83013,14.31045875,37.88722344
82,Castelbuono,Palermo,9 161,"60,79",423,82022,14.08825699,37.93384847
83,Casteldaccia,Palermo,10 884,"33,92",79,82023,13.53252086,38.05536784
84,Castell'Umberto,Messina,3 295,"11,43",660,83014,14.80687881,38.0845797
85,Castellammare del Golfo,Trapani,14 603,"127,32",26,81005,12.8804435,38.02637875
86,Castellana Sicula,Palermo,3 549,"73,20",765,82024,14.0440936,37.78176388
87,Castelmola,Messina,1 073,"16,83",529,83015,15.27665979,37.85818779
88,Casteltermini,Agrigento,8 422,"99,98",554,84012,13.64340312,37.54081015
89,Castelvetrano,Trapani,31 824,"209,76",187,81006,12.79163803,37.67916124
90,Castiglione di Sicilia,Catania,3 298,"118,90",621,87014,15.1223902,37.88270389
91,Castrofilippo,Agrigento,3 020,"18,08",470,84013,13.75018349,37.34868982
92,Castronovo di Sicilia,Palermo,3 175,"201,04",660,82025,13.6037351,37.67842244
93,Castroreale,Messina,2 548,"53,07",394,83016,15.21102502,38.09848356
94,Catania,Catania,293 902,"182,90",7,87015,15.08704738,37.50287801
95,Catenanuova,Enna,4 999,"11,22",170,86006,14.69145818,37.56792494
96,Cattolica Eraclea,Agrigento,3 975,"62,16",180,84014,13.39539987,37.43952809
97,Cefalà Diana,Palermo,1 007,"9,06",563,82026,13.46371561,37.9154063
98,Cefalù,Palermo,14 354,"66,24",16,82027,14.02202407,38.03969852
99,Centuripe,Enna,5 599,"174,20",730,86007,14.7414306,37.62030983
100,Cerami,Enna,2 150,"95,05",970,86008,14.50637122,37.81035063
101,Cerda,Palermo,5 391,"43,83",274,82028,13.81537105,37.9038606
102,Cesarò,Messina,2 572,"216,93",1 150,83017,14.71217827,37.84375488
103,Chiaramonte Gulfi,Ragusa,8 224,"127,38",668,88002,14.70126744,37.03157582
104,Chiusa Sclafani,Palermo,2 957,"57,55",658,82029,13.26987223,37.67706196
105,Cianciana,Agrigento,3 517,"38,08",390,84015,13.43525819,37.51744705
106,Ciminna,Palermo,3 845,"56,42",530,82030,13.5619533,37.89726194
107,Cinisi,Palermo,12 031,"33,16",75,82031,13.10913663,38.15490295
108,Collesano,Palermo,4 095,"108,17",468,82032,13.93754507,37.92105542
109,Comiso,Ragusa,30 214,"65,40",209,88003,14.60468609,36.94565701
110,Comitini,Agrigento,944,"21,89",350,84016,13.64362024,37.40860888
111,Condrò,Messina,481,"5,13",58,83018,15.32648511,38.17570357
112,Contessa Entellina,Palermo,1 865,"136,48",571,82033,13.18403998,37.72819592
113,Corleone,Palermo,11 286,"229,46",550,82034,13.3015804,37.81204186
114,Custonaci,Trapani,5 392,"69,90",186,81007,12.67554057,38.07802811
115,Delia,Caltanissetta,4 325,"12,40",420,85006,13.92762543,37.35605898
116,Enna,Enna,27 894,"358,75",931,86009,14.27909392,37.56705701
117,Erice,Trapani,28 012,"47,34",751,81008,12.58703706,38.03810338
118,Falcone,Messina,2 874,"9,34",3,83019,15.08228905,38.11643166
119,Favara,Agrigento,32 972,"81,88",338,84017,13.65646307,37.31070969
120,Favignana,Trapani,4 185,"38,32",6,81009,12.32724071,37.93177599
121,Ferla,Siracusa,2 600,"24,90",556,89008,14.94146541,37.11861277
122,Ficarazzi,Palermo,11 484,"3,53",23,82035,13.46320747,38.08835152
123,Ficarra,Messina,1 566,"18,66",450,83020,14.8274778,38.1104203
124,Fiumedinisi,Messina,1 559,"36,69",200,83021,15.38231276,38.02502794
125,Fiumefreddo di Sicilia,Catania,9 690,"12,16",62,87016,15.20820135,37.7929303
126,Floresta,Messina,516,"31,33",1 275,83022,14.90945173,37.98770217
127,Floridia,Siracusa,22 685,"26,48",111,89009,15.15289178,37.08211457
128,Fondachelli-Fantina,Messina,1 090,"42,21",708,83023,15.1730753,37.98597775
129,Forza d'Agrò,Messina,878,"11,19",420,83024,15.3351305,37.91411237
130,Francavilla di Sicilia,Messina,3 901,"82,73",330,83025,15.13614134,37.90124653
131,Francofonte,Siracusa,12 923,"74,20",281,89010,14.88012787,37.23078145
132,Frazzanò,Messina,755,"7,00",563,83026,14.74474753,38.07234359
133,Furci Siculo,Messina,3 428,"17,91",9,83027,15.37997427,37.9609047
134,Furnari,Messina,3 665,"13,55",145,83028,15.12548931,38.10475339
135,Gaggi,Messina,3 138,"7,65",106,83029,15.22055836,37.86086335
136,Gagliano Castelferrato,Enna,3 722,"56,24",651,86010,14.53558411,37.71031882
137,Galati Mamertino,Messina,2 794,"39,31",790,83030,14.77102197,38.03302982
138,Gallodoro,Messina,381,"6,91",388,83031,15.29381546,37.90168112
139,Gangi,Palermo,7 063,"127,47",1 011,82036,14.20524912,37.7981533
140,Gela,Caltanissetta,75 668,"279,07",46,85007,14.25035002,37.06545435
141,Geraci Siculo,Palermo,1 925,"113,35",1 077,82037,14.15415104,37.85898758
142,Giardinello,Palermo,2 258,"12,88",275,82038,13.1567837,38.08861222
143,Giardini-Naxos,Messina,9 268,"5,29",5,83032,15.27742465,37.84023248
144,Giarratana,Ragusa,3 143,"43,63",520,88004,14.79303144,37.04827526
145,Giarre,Catania,28 114,"27,32",81,87017,15.18450405,37.73003683
146,Gibellina,Trapani,4 264,"46,57",233,81010,12.86981861,37.80994146
147,Gioiosa Marea,Messina,7 114,"26,48",30,83033,14.89284233,38.17198745
148,Giuliana,Palermo,2 032,"24,14",710,82039,13.23787124,37.67426741
149,Godrano,Palermo,1 153,"38,99",698,82040,13.4286185,37.90303566
150,Grammichele,Catania,13 064,"31,02",520,87018,14.63723701,37.21500543
151,Graniti,Messina,1 522,"10,05",350,83034,15.22670686,37.89133028
152,Gratteri,Palermo,1 019,"38,17",657,82041,13.97307322,37.96731008
153,Gravina di Catania,Catania,26 543,"5,15",355,87019,15.06212657,37.56058183
154,Grotte,Agrigento,5 839,"23,98",516,84018,13.6991796,37.4025486
155,Gualtieri Sicaminò,Messina,1 834,"14,38",80,83035,15.31675986,38.16306516
156,Isnello,Palermo,1 598,"51,00",530,82042,14.00607302,37.94398431
157,Isola delle Femmine,Palermo,7 100,"3,57",6,82043,13.24620555,38.2005898
158,Ispica,Ragusa,15 122,"113,75",170,88005,14.90352486,36.78617863
159,Itala,Messina,1 663,"10,98",210,83036,15.43731628,38.0506133
160,Joppolo Giancaxio,Agrigento,1 210,"19,14",275,84019,13.55409781,37.38774566
161,Lampedusa e Linosa,Agrigento,6 105,"25,22",16,84020,12.60984005,35.50195501
162,Lascari,Palermo,3 500,"10,33",76,82044,13.9411201,37.99988341
163,Leni,Messina,702,"8,79",202,83037,14.82416615,38.55494763
164,Lentini,Siracusa,24 484,"216,78",53,89011,14.99933634,37.28451352
165,Leonforte,Enna,13 878,"84,39",603,86011,14.39206612,37.63918202
166,Lercara Friddi,Palermo,6 935,"37,43",660,82045,13.60283501,37.74748969
167,Letojanni,Messina,2 699,"6,72",5,83038,15.3062556,37.88030919
168,Librizzi,Messina,1 771,"23,39",501,83039,14.95818725,38.09716507
169,Licata,Agrigento,38 125,"179,68",8,84021,13.93718336,37.10156734
170,Licodia Eubea,Catania,3 047,"112,45",600,87020,14.70331914,37.15572822
171,Limina,Messina,900,"9,99",552,83040,15.27264247,37.94087859
172,Linguaglossa,Catania,5 416,"60,25",550,87021,15.14400823,37.84073315
173,Lipari,Messina,11 642,"89,72",44,83041,14.95652135,38.46903961
174,Longi,Messina,1 562,"42,11",616,83042,14.75261325,38.02716872
175,Lucca Sicula,Agrigento,1 917,"18,63",513,84022,13.30670721,37.57845576
176,Maletto,Catania,4 015,"40,96",960,87022,14.866289,37.82950116
177,Malfa,Messina,988,"8,74",100,83043,14.83604364,38.57699743
178,Malvagna,Messina,794,"6,71",710,83044,15.05435477,37.91866067
179,Mandanici,Messina,629,"11,85",417,83045,15.31711083,38.00229698
180,Maniace,Catania,3 671,"37,70",787,87057,14.8077535,37.86200981
181,Marianopoli,Caltanissetta,2 006,"13,07",720,85008,13.91508083,37.59883246
182,Marineo,Palermo,6 779,"33,43",531,82046,13.41410836,37.9526806
183,Marsala,Trapani,80 218,"243,26",12,81011,12.43494685,37.79917261
184,Mascali,Catania,13 792,"37,85",28,87023,15.19535853,37.75749529
185,Mascalucia,Catania,29 984,"16,28",420,87024,15.05302159,37.57305779
186,Mazara del Vallo,Trapani,49 995,"274,64",8,81012,12.58972014,37.65134848
187,Mazzarino,Caltanissetta,12 333,"295,59",553,85009,14.21424397,37.30500006
188,Mazzarrone,Catania,3 989,"34,78",285,87056,14.56159557,37.08400559
189,Mazzarrà Sant'Andrea,Messina,1 567,"6,69",110,83046,15.13585547,38.08979715
190,Melilli,Siracusa,13 076,"136,42",310,89012,15.12675487,37.17850834
191,Menfi,Agrigento,12 711,"113,58",119,84023,12.96641122,37.59822493
192,Merì,Messina,2 396,"1,85",64,83047,15.24644375,38.16794237
193,Messina,Messina,243 262,"213,75",3,83048,15.55572383,38.19395841
194,Mezzojuso,Palermo,3 020,"49,27",568,82047,13.46450986,37.86449557
195,Milazzo,Messina,32 146,"24,70",1,83049,15.24274412,38.22087052
196,Milena,Caltanissetta,3 178,"24,63",436,85010,13.73627968,37.47145256
197,Militello in Val di Catania,Catania,7 807,"62,48",413,87025,14.79399781,37.27480551
